iter	Passed	Remaining
600	34810	544401
601	34868	544349
602	34924	544249
603	34981	544187
604	35038	544115
605	35094	544019
606	35151	543947
607	35206	543852
608	35265	543800
609	35321	543717
610	35380	543683
611	35438	543619
612	35495	543555
613	35552	543472
614	35612	543450
615	35668	543370
616	35725	543291
617	35787	543290
618	35845	543245
619	35903	543180
620	35963	543151
621	36021	543095
622	36078	543033
623	36138	543002
624	36195	542938
625	36251	542852
626	36306	542737
627	36361	542649
628	36418	542571
629	36475	542494
630	36536	542494
631	36595	542453
632	36655	542419
633	36712	542346
634	36770	542299
635	36827	542222
636	36884	542148
637	36942	542100
638	37001	542053
639	37058	541987
640	37115	541916
641	37174	541863
642	37232	541812
643	37289	541742
644	37347	541684
645	37402	541585
646	37461	541536
647	37518	541474
648	37575	541397
649	37635	541365
650	37690	541277
651	37748	541210
652	37807	541178
653	37867	541149
654	37926	541099
655	37985	541065
656	38046	541045
657	38103	540972
658	38159	540896
659	38217	540830
660	38275	540772
661	38334	540739
662	38391	540668
663	38453	540662
664	38512	540628
665	38576	540643
666	38636	540617
667	38692	540537
668	38751	540490
669	38807	540412
670	38866	540361
671	38927	540354
672	38984	540285
673	39040	540194
674	39098	540142
675	39153	540044
676	39211	539989
677	39270	539942
678	39328	539881
679	39384	539800
680	39440	539713
681	39497	539642
682	39553	539561
683	39610	539487
684	39668	539434
685	39727	539385
686	39781	539280
687	39840	539234
688	39897	539170
689	39956	539129
690	40015	539076
691	40071	538994
692	40128	538923
693	40184	538836
694	40240	538755
695	40297	538684
696	40353	538608
697	40411	538548
698	40469	538489
699	40527	538436
700	40584	538369
701	40643	538322
702	40702	538275
703	40758	538199
704	40815	538127
705	40872	538056
706	40930	537995
707	40987	537935
708	41044	537864
709	41104	537838
710	41162	537774
711	41221	537726
712	41278	537665
713	41334	537579
714	41394	537554
715	41450	537470
716	41509	537428
717	41566	537350
718	41624	537299
719	41680	537218
720	41738	537156
721	41796	537099
722	41854	537046
723	41911	536978
724	41968	536902
725	42027	536859
726	42081	536756
727	42138	536684
728	42194	536607
729	42255	536589
730	42311	536507
731	42369	536447
732	42425	536373
733	42485	536342
734	42544	536288
735	42600	536212
736	42660	536179
737	42716	536096
738	42772	536019
739	42830	535961
740	42887	535885
741	42941	535787
742	42999	535731
743	43057	535673
744	43111	535568
745	43170	535522
746	43227	535457
747	43286	535413
748	43347	535392
749	43409	535378
750	43465	535304
751	43524	535260
752	43581	535186
753	43636	535093
754	43693	535023
755	43752	534986
756	43810	534922
757	43868	534877
758	43924	534790
759	43980	534707
760	44036	534631
761	44096	534591
762	44153	534534
763	44213	534502
